Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","33n","C_0603_1608Metric",114.500000,-187.500000,180.000000,bottom
"C2","33n","C_0603_1608Metric",125.500000,-187.500000,0.000000,bottom
"C3","33n","C_0603_1608Metric",134.500000,-187.500000,180.000000,bottom
"C4","33n","C_0603_1608Metric",145.500000,-187.500000,0.000000,bottom
"C5","33n","C_0603_1608Metric",154.500000,-187.500000,180.000000,bottom
"C6","33n","C_0603_1608Metric",165.500000,-187.500000,0.000000,bottom
"C7","33n","C_0603_1608Metric",174.500000,-187.500000,180.000000,bottom
"C8","33n","C_0603_1608Metric",185.500000,-187.500000,0.000000,bottom
"C9","33n","C_0603_1608Metric",114.000000,-167.500000,180.000000,bottom
"C10","33n","C_0603_1608Metric",125.500000,-167.500000,0.000000,bottom
"C11","33n","C_0603_1608Metric",134.500000,-167.500000,180.000000,bottom
"C12","33n","C_0603_1608Metric",145.500000,-167.500000,0.000000,bottom
"C13","33n","C_0603_1608Metric",154.000000,-167.500000,180.000000,bottom
"C14","33n","C_0603_1608Metric",165.500000,-167.500000,0.000000,bottom
"C15","33n","C_0603_1608Metric",174.500000,-167.500000,180.000000,bottom
"C16","33n","C_0603_1608Metric",185.500000,-167.500000,0.000000,bottom
"C17","33n","C_0603_1608Metric",114.500000,-147.500000,180.000000,bottom
"C18","33n","C_0603_1608Metric",125.500000,-147.500000,0.000000,bottom
"C19","33n","C_0603_1608Metric",134.500000,-147.500000,180.000000,bottom
"C20","33n","C_0603_1608Metric",145.500000,-147.500000,0.000000,bottom
"C21","33n","C_0603_1608Metric",154.500000,-147.500000,180.000000,bottom
"C22","33n","C_0603_1608Metric",165.500000,-147.500000,0.000000,bottom
"C23","33n","C_0603_1608Metric",174.500000,-147.500000,180.000000,bottom
"C24","33n","C_0603_1608Metric",185.500000,-147.500000,0.000000,bottom
"C25","33n","C_0603_1608Metric",114.500000,-127.500000,180.000000,bottom
"C26","33n","C_0603_1608Metric",125.500000,-127.500000,0.000000,bottom
"C27","33n","C_0603_1608Metric",134.500000,-127.500000,180.000000,bottom
"C28","33n","C_0603_1608Metric",145.500000,-127.500000,0.000000,bottom
"C29","33n","C_0603_1608Metric",154.500000,-127.500000,180.000000,bottom
"C30","33n","C_0603_1608Metric",165.500000,-127.500000,0.000000,bottom
"C31","33n","C_0603_1608Metric",174.500000,-127.500000,180.000000,bottom
"C32","33n","C_0603_1608Metric",185.500000,-127.500000,0.000000,bottom
"C36","33n","C_0603_1608Metric",105.000000,-162.500000,90.000000,bottom
"C37","33n","C_0603_1608Metric",196.513461,-119.813052,180.000000,bottom
"C38","33n","C_0603_1608Metric",110.994867,-107.416751,180.000000,bottom
"C40","100n","C_0603_1608Metric",175.750000,-102.500000,90.000000,bottom
"C41","100n","C_0603_1608Metric",165.550000,-113.000000,180.000000,bottom
"C42","4.7u","C_0805_2012Metric",165.700000,-115.000000,180.000000,bottom
"C43","100n","C_0603_1608Metric",172.700000,-101.400000,180.000000,bottom
"C44","100n","C_0603_1608Metric",175.200000,-107.750000,180.000000,bottom
"C45","100n","C_0603_1608Metric",161.400000,-103.000000,-90.000000,bottom
"C46","4.7u","C_0805_2012Metric",159.700000,-102.737500,-90.000000,bottom
"C47","1u","C_0805_2012Metric",138.146209,-102.386217,90.000000,bottom
"C48","100n","C_0603_1608Metric",195.000000,-166.300000,0.000000,bottom
"C50","100n","C_0603_1608Metric",195.062500,-159.800000,180.000000,bottom
"C51","100n","C_0603_1608Metric",194.937500,-157.300000,180.000000,bottom
"C52","100n","C_0603_1608Metric",195.000000,-154.800000,180.000000,bottom
"C53","100n","C_0603_1608Metric",195.000000,-152.300000,180.000000,bottom
"C54","100n","C_0603_1608Metric",195.062500,-149.800000,180.000000,bottom
"C55","100n","C_0603_1608Metric",195.000000,-147.300000,180.000000,bottom
"C56","100n","C_0603_1608Metric",195.062500,-144.800000,180.000000,bottom
"C57","100n","C_0603_1608Metric",195.000000,-142.300000,180.000000,bottom
